_id,assessmentSessionId,sessionName,userId,assessmentDate,maxScore,score
661ce49902ac53db241d98d9,661380ac2b58b7175bca7031,"Cloud deployment models (Public, Private, Hybrid, Multi-cloud)",661224230ccdccd17b1e084c,2024-04-12 12:00:00,100,53
661ce49902ac53db241d98da,66138a552b58b7175bca70b4,"Cloud deployment models (Public, Private, Hybrid, Multi-cloud)",661224230ccdccd17b1e084c,2024-04-12 15:00:00,100,36
661ce49902ac53db241d98db,6613a181a17a6dbac96b1781,Infrastructure as Code (IaC),661224230ccdccd17b1e084c,2024-04-13 11:30:00,100,68
661ce49902ac53db241d98dc,6613e4e59ee42a92eca133ee,Feature engineering,660feb0a6f3688dd93b442d9,2024-01-13 00:00:00,100,75
661ce49902ac53db241d98dd,6613e4e59ee42a92eca133ef,Reinforcement learning,660fe8a86f3688dd93b3667b,2024-01-12 00:00:00,100,92
661ce49902ac53db241d98de,6613e4e59ee42a92eca133f0,Model evaluation and validation,661224230ccdccd17b1e084c,2024-01-07 00:00:00,100,34
661ce49902ac53db241d98df,6613e4e59ee42a92eca133f1,Infrastructure automation,660feb0a6f3688dd93b442e7,2024-01-12 00:00:00,100,91
661ce49902ac53db241d98e0,6613e4e59ee42a92eca133f2,User research,660feb0a6f3688dd93b442c5,2024-01-06 00:00:00,100,55
661ce49902ac53db241d98e1,6613e4e59ee42a92eca133f3,A/B testing methodologies,660feb0a6f3688dd93b442cf,2024-01-13 00:00:00,100,93
661ce49902ac53db241d98e2,6613e4e59ee42a92eca133f4,Model evaluation and validation,660fe8a86f3688dd93b36694,2024-01-08 00:00:00,100,84
661ce49902ac53db241d98e3,6613e4e59ee42a92eca133f5,Data governance,660feb0a6f3688dd93b442e7,2024-01-11 00:00:00,100,94
661ce49902ac53db241d98e4,6613e4e59ee42a92eca133f6,Prototyping,660fe8a86f3688dd93b36685,2024-01-14 00:00:00,100,64
661ce49902ac53db241d98e5,6613e4e59ee42a92eca133f7,Data Science Fundamentals,660feb0a6f3688dd93b442de,2024-01-08 00:00:00,100,96
661ce49902ac53db241d98e6,6613e4e59ee42a92eca133f8,Test automation frameworks,660feb0a6f3688dd93b442c8,2024-01-12 00:00:00,100,73
661ce49902ac53db241d98e7,6613e4e59ee42a92eca133f9,"Message brokers (e.g., RabbitMQ, Kafka)",660fe8a86f3688dd93b36695,2024-01-07 00:00:00,100,32
661ce49902ac53db241d98e8,6613e4e59ee42a92eca133fa,Automated incident response,660feb0a6f3688dd93b442fa,2024-01-11 00:00:00,100,80
661ce49902ac53db241d98e9,6613e4e59ee42a92eca133fb,User personas,660feb0a6f3688dd93b442d9,2024-01-13 00:00:00,100,82
661ce49902ac53db241d98ea,6613e4e59ee42a92eca133fc,Monitoring and logging in cloud environments,660feb0a6f3688dd93b442e4,2024-01-15 00:00:00,100,57
661ce49a02ac53db241d98eb,6613e4e59ee42a92eca133fd,"Cloud deployment models (Public, Private, Hybrid, Multi-cloud)",660fe8a86f3688dd93b36678,2024-01-12 00:00:00,100,34
661ce49a02ac53db241d98ec,6613e4e59ee42a92eca133fe,Advanced Machine Learning,661224230ccdccd17b1e084c,2024-01-16 00:00:00,100,65
661ce49a02ac53db241d98ed,6613e4e59ee42a92eca133ff,Interaction design,660feb0a6f3688dd93b442d6,2024-01-08 00:00:00,100,64
661ce49a02ac53db241d98ee,6613e4e59ee42a92eca13400,Information architecture,660feb0a6f3688dd93b442c0,2024-01-11 00:00:00,100,58
