_id,programId,programName,Startdatetime,Enddatetime,venue,trainee,trainers,status,__v
661380ac2b58b7175bca7031,6612820b9ee42a92ec2a0f0b,"Cloud deployment models (Public, Private, Hybrid, Multi-cloud)",2024-04-09 09:00:00,2024-04-09 12:00:00,PUT_YOUR_VENUE_HERE,661224230ccdccd17b1e084c,[ObjectId('660feb0a6f3688dd93b44381')],completed,0.0
66138a552b58b7175bca70b4,6612820b9ee42a92ec2a0f0b,"Cloud deployment models (Public, Private, Hybrid, Multi-cloud)",2024-04-09 14:00:00,2024-04-09 15:00:00,Online,661224230ccdccd17b1e084c,[ObjectId('660feb0a6f3688dd93b44381')],completed,0.0
6613a181a17a6dbac96b1781,6612820b9ee42a92ec2a0f0c,Infrastructure as Code (IaC),2024-04-08 03:30:00,2024-04-10 11:30:00,Virtual Classroom,661224230ccdccd17b1e084c,[],completed,0.0
6613e4e59ee42a92eca133ee,6612820b9ee42a92ec2a0f47,Feature engineering,2024-01-06 00:00:00,2024-01-10 00:00:00,Cozy Cove,660feb0a6f3688dd93b442d9,['660feb0a6f3688dd93b443c3'],completed,
6613e4e59ee42a92eca133ef,6612820b9ee42a92ec2a0f4e,Reinforcement learning,2024-01-03 00:00:00,2024-01-09 00:00:00,Hideaway,660fe8a86f3688dd93b3667b,['660feb0a6f3688dd93b44312'],completed,
6613e4e59ee42a92eca133f0,6612820b9ee42a92ec2a0f4b,Model evaluation and validation,2024-01-05 00:00:00,2024-01-05 00:00:00,Cozy Cove,661224230ccdccd17b1e084c,['660feb0a6f3688dd93b443c3'],completed,
6613e4e59ee42a92eca133f1,6612820b9ee42a92ec2a0f41,Infrastructure automation,2024-01-07 00:00:00,2024-01-11 00:00:00,Den,660feb0a6f3688dd93b442e7,['660feb0a6f3688dd93b4433e'],completed,
6613e4e59ee42a92eca133f2,6612820b9ee42a92ec2a0f14,User research,2024-01-05 00:00:00,2024-01-05 00:00:00,Sanctuary,660feb0a6f3688dd93b442c5,['660feb0a6f3688dd93b44333'],completed,
6613e4e59ee42a92eca133f3,6612820b9ee42a92ec2a0f3b,A/B testing methodologies,2024-01-08 00:00:00,2024-01-11 00:00:00,Hideaway,660feb0a6f3688dd93b442cf,['660feb0a6f3688dd93b44388'],completed,
6613e4e59ee42a92eca133f4,6612820b9ee42a92ec2a0f4b,Model evaluation and validation,2024-01-06 00:00:00,2024-01-07 00:00:00,Den,660fe8a86f3688dd93b36694,['660feb0a6f3688dd93b44380'],completed,
6613e4e59ee42a92eca133f5,6612820b9ee42a92ec2a0f30,Data governance,2024-01-06 00:00:00,2024-01-09 00:00:00,Cozy Cove,660feb0a6f3688dd93b442e7,['660feb0a6f3688dd93b44355'],completed,
6613e4e59ee42a92eca133f6,6612820b9ee42a92ec2a0f16,Prototyping,2024-01-06 00:00:00,2024-01-13 00:00:00,Den,660fe8a86f3688dd93b36685,['660feb0a6f3688dd93b4432c'],completed,
6613e4e59ee42a92eca133f7,660ed878d1b3e162abf04cc4,Data Science Fundamentals,2024-01-05 00:00:00,2024-01-07 00:00:00,Haven,660feb0a6f3688dd93b442de,['660feb0a6f3688dd93b44388'],completed,
6613e4e59ee42a92eca133f8,6612820b9ee42a92ec2a0f43,Test automation frameworks,2024-01-07 00:00:00,2024-01-09 00:00:00,Oasis,660feb0a6f3688dd93b442c8,['660feb0a6f3688dd93b44355'],completed,
6613e4e59ee42a92eca133f9,6612820b9ee42a92ec2a0f25,"Message brokers (e.g., RabbitMQ, Kafka)",2024-01-04 00:00:00,2024-01-05 00:00:00,Oasis,660fe8a86f3688dd93b36695,['660feb0a6f3688dd93b44380'],completed,
6613e4e59ee42a92eca133fa,6612820b9ee42a92ec2a0f44,Automated incident response,2024-01-03 00:00:00,2024-01-10 00:00:00,Oasis,660feb0a6f3688dd93b442fa,['660feb0a6f3688dd93b4432c'],completed,
